"","V1"
"1","3.885256410256410e-04"
"2","5.451310861423221e-04"
"3","1.840923772609819e-04"
"4","5.246685606060606e-04"
"5","7.524497487437186e-04"
"6","1.281574394463668e-04"
"7","1.051436335403727e-04"
"8","9.449423815621000e-05"
"9","4.194202898550724e-04"
"10","9.578209069946195e-05"
"11","1.442999053926206e-04"
"12","2.525394045534150e-04"
"13","2.056189488243430e-04"
"14","1.070940959409594e-04"
"15","6.143907563025210e-04"
"16","3.651430348258706e-04"
"17","2.258504746835443e-04"
"18","4.682916666666666e-04"
"19","2.932828282828283e-04"
"20","5.622509960159362e-04"
"21","1.078320802005012e-04"
"22","3.989864864864865e-04"
"23","9.628616796047988e-05"
"24","1.208401807723911e-04"
"25","4.240441176470588e-04"
"26","7.489804241435564e-05"
"27","4.834838823946157e-05"
"28","9.838142153413090e-05"
"29","8.800894509561998e-05"
"30","9.879595588235294e-05"
"31","1.586550632911392e-03"
"32","5.206974637681159e-04"
"33","1.103300000000000e-03"
"34","1.576022604951561e-04"
"35","4.553143712574850e-04"
"36","5.264627659574468e-04"
"37","2.047484984984985e-04"
"38","4.329219745222930e-04"
"39","8.446947674418605e-04"
"40","1.320175438596491e-04"
"41","9.993718592964824e-05"
"42","1.127665876777251e-04"
"43","4.067039106145251e-04"
"44","1.025119142176330e-04"
"45","1.512969367588933e-04"
"46","2.261687797147385e-04"
"47","2.075814111261872e-04"
"48","1.007268424611224e-04"
"49","6.428414096916299e-04"
"50","3.358485193621868e-04"
"51","2.779075546719682e-04"
"52","3.695043103448276e-04"
"53","2.562857142857143e-04"
"54","5.565944881889764e-04"
"55","1.303680981595092e-04"
"56","3.320449561403509e-04"
"57","9.486363636363638e-05"
"58","1.121183206106870e-04"
"59","4.798427152317881e-04"
"60","6.536804529788282e-05"
"61","5.067567567567568e-05"
"62","8.263627819548871e-05"
"63","9.719696969696970e-05"
"64","1.344125000000000e-04"
"65","1.319285714285714e-03"
"66","5.043189368770764e-04"
"67","1.399869791666667e-03"
"68","1.399453823237339e-04"
